15869	1.3311750548444124e-07	▁emballage
12553	1.3311750548444124e-07	▁câble
19022	3.3279376371110305e-07	▁administrateur
34373	3.3279376371110305e-07	▁connecteur
27837	3.993525164533237e-07	▁cartouche
14579	5.990287746799855e-07	▁bail
46426	7.987050329066474e-07	▁jalousie
9419	7.987050329066474e-07	▁hall
36175	7.987050329066474e-07	▁extrémité
31177	8.652637856488679e-07	▁Rid
48348	1.0649400438755295e-06	accouplement
1695	1.1314987966177504e-06	▁Management
22612	1.198057549359971e-06	▁audition
28113	1.198057549359971e-06	▁Proportion
8784	1.198057549359971e-06	▁confirm
12831	1.198057549359971e-06	▁attaque
42710	1.2646163021021915e-06	▁dureté
16342	1.2646163021021915e-06	▁Intel
40719	1.3977338075866329e-06	▁gélule
4856	1.3977338075866329e-06	▁endroit
9551	1.3977338075866329e-06	▁Résolution
34809	1.3977338075866329e-06	▁cauchemar
30900	1.4642925603288536e-06	▁bouchon
27497	1.4642925603288536e-06	▁congestion
22732	1.4642925603288536e-06	▁aire
26419	1.530851313071074e-06	GUE
36087	1.530851313071074e-06	▁traçabilité
34279	1.5974100658132947e-06	▁bosse
33313	1.6639688185555154e-06	▁tiges
37135	1.6639688185555154e-06	▁humeur
5969	1.7305275712977358e-06	▁Photos
25528	1.7970863240399563e-06	▁compétitive
35815	1.8636450767821768e-06	▁azote
42972	1.9302038295243977e-06	▁gonflement
8395	1.9302038295243977e-06	▁fabricant
11644	2.063321335008839e-06	▁fournitures
38149	2.1298800877510595e-06	▁Recensement
22199	2.3295563459777213e-06	▁attachement
23122	2.3295563459777213e-06	antenne
27558	2.3295563459777213e-06	▁expérimenté
10257	2.396115098719942e-06	▁équipement
15274	2.462673851462162e-06	▁Rouge
13734	2.529232604204383e-06	▁conducteur
19231	2.529232604204383e-06	▁honte
17702	2.595791356946604e-06	▁générique
36456	2.6623501096888244e-06	hydraté
35304	2.6623501096888244e-06	▁flanc
36484	2.7289088624310453e-06	▁afférent
32784	2.7289088624310453e-06	clave
27073	2.7954676151732658e-06	▁capteur
30968	2.995143873399928e-06	▁Nomenclature
28659	3.128261378884369e-06	▁Colon
32362	3.1948201316265894e-06	▁gants
24801	3.1948201316265894e-06	▁Poids
44358	3.26137888436881e-06	▁champignon
33189	3.26137888436881e-06	▁lacune
25041	3.3279376371110308e-06	eed
2086	3.3944963898532512e-06	▁lot
29389	3.3944963898532512e-06	▁talon
18426	3.3944963898532512e-06	▁explication
6248	3.461055142595472e-06	▁Promotion
43833	3.461055142595472e-06	▁gomme
7436	3.527613895337693e-06	▁Audit
23347	3.594172648079913e-06	▁casque
16419	3.594172648079913e-06	▁pile
9619	3.594172648079913e-06	▁confidentialité
34215	3.660731400822134e-06	▁Tissu
39524	3.7272901535643535e-06	▁vomi
